qid,name,body,startyear,endyear
Q6231327,Curt Wallis,Karolinska Institutet,1884,1905
Q524574,Oskar Medin,Karolinska Institutet,1884,1912
Q5571267,John Berg,Karolinska Institutet,1885,1916
Q6228296,Jonas Wærn (professor),Karolinska Institutet,1885,1914
Q5907364,Algot Key-Åberg,Karolinska Institutet,1887,1915
Q5627170,Johan Gustaf Edgren,Karolinska Institutet,1888,1914
Q6089519,Mauritz Salin,Karolinska Institutet,1888,1916
Q5889957,Severin Jolin,Karolinska Institutet,1888,1915
Q6001663,Karl Mörner,Karolinska Institutet,1889,1915
Q5946428,Frithiof Lennmalm,Karolinska Institutet,1890,1921
Q5547606,Ernst Almquist,Karolinska Institutet,1891,1917
Q6240354,Johan Widmark,Karolinska Institutet,1891,1905
Q6093961,Carl Gustaf Santesson (farmakolog),Karolinska Institutet,1895,1927
Q5999086,Erik Müller (professor),Karolinska Institutet,1895,1921
Q6255388,Jules Åkerman,Karolinska Institutet,1895,1926
Q6235004,Edvard Welander,Karolinska Institutet,1896,1905
Q6195384,Carl Sundberg (medicinare),Karolinska Institutet,1900,1924
Q2214976,Salomon Eberhard Henschen,Karolinska Institutet,1900,1912
Q5811467,Emil Holmgren,Karolinska Institutet,1901,1921
Q5886559,Johan Erik Johansson,Karolinska Institutet,1901,1927
Q6237918,Frans Westermark,Karolinska Institutet,1902,1918
Q5749106,Bror Gadelius,Karolinska Institutet,1903,1927
Q5629627,Gustaf Ekehorn,Karolinska Institutet,1909,1922
Q5616010,Albin Dalén,Karolinska Institutet,1910,1931
Q6080655,Carl Jacob Rossander,Karolinska Institutet,1910,1931
Q5796462,Gunnar Hedrén,Karolinska Institutet,1910,1931
Q5811491,Gunnar Holmgren (läkare),Karolinska Institutet,1912,1940
Q5811523,Israel Holmgren,Karolinska Institutet,1913,1936
Q5547432,Johan Almkvist,Karolinska Institutet,1913,1934
Q1230018,Patrik Haglund,Karolinska Institutet,1913,1931
Q5894161,Isak Jundell,Karolinska Institutet,1914,1932
Q5737590,Gösta Forssell,Karolinska Institutet,1916,1941
Q533628,Hans Christian Jacobæus,Karolinska Institutet,1916,1931
Q5737859,Hjalmar Forssner,Karolinska Institutet,1917,1925
Q6178944,John Sjöqvist,Karolinska Institutet,1918,1928
Q18245057,Alfred Pettersson (medicinsk forskare),Karolinska Institutet,1919,1932
Q5544271,Erik Ahlström,Karolinska Institutet,1919,1942
Q5801712,Folke Henschen,Karolinska Institutet,1920,1946
Q113849291,Wilhellm Edvard Wernstedt,Karolinska Institutet,1921,1937
Q5907310,Einar Key,Karolinska Institutet,1923,1937
Q5819389,Gösta Häggqvist,Karolinska Institutet,1923,1960
Q5975966,Henry Marcus,Karolinska Institutet,1924,1931
Q5573196,Hilding Bergstrand,Karolinska Institutet,1924,1952
Q5803857,Carl Hesser,Karolinska Institutet,1925,1931
Q6014809,Erik Nordenson (medicinare),Karolinska Institutet,1927,1948
Q361802,Göran Liljestrand,Karolinska Institutet,1927,1951
Q5787150,Einar Hammarsten,Karolinska Institutet,1928,1957
Q6202051,Gustaf Söderlund (läkare),Karolinska Institutet,1928,1950
Q5757267,Hans Gertz,Karolinska Institutet,1928,1931
Q6240777,Viktor Wigert,Karolinska Institutet,1929,1943
Q6025890,John Olow,Karolinska Institutet,1931,1947
Q5557877,Nils Antoni,Karolinska Institutet,1931,1954
Q6014841,Wilhelm Nordenson,Karolinska Institutet,1931,1948
Q16489003,Adolf Lichtenstein,Karolinska Institutet,1932,1947
Q16650059,Carl Næslund,Karolinska Institutet,1932,1942
Q5582995,Wilhelm Bosæus,Karolinska Institutet,1933,1957
Q924456,Herbert Olivecrona,Karolinska Institutet,1935,1960
Q5574559,Elis Berven,Karolinska Institutet,1936,1950
Q1605592,Henning Waldenström,Karolinska Institutet,1936,1942
Q67173737,James Strandberg,Karolinska Institutet,1936,1942
Q4981402,Nanna Svartz,Karolinska Institutet,1938,1957
Q6193210,Jan Paul Strömbeck,Karolinska Institutet,1939,1955
Q5799698,John Hellström,Karolinska Institutet,1939,1958
Q237142,Ulf von Euler,Karolinska Institutet,1939,1970
Q41800959,Anders Kristenson,Karolinska Institutet,1940,1947
Q113848521,Torsten Olof Skoog,Karolinska Institutet,1940,1960
Q6045970,Ture Petrén,Karolinska Institutet,1940,1968
Q6069064,Olle Reuterwall,Karolinska Institutet,1941,1954
Q345283,Rolf Sievert,Karolinska Institutet,1941,1970
Q3606961,Åke Åkerlund,Karolinska Institutet,1941,1952
Q53709703,Arvid Wallgren,Karolinska Institutet,1942,1956
Q6238303,Axel Westman,Karolinska Institutet,1942,1955
Q100323544,Sven Hellerström (läkare),Karolinska Institutet,1942,1968
Q50825106,Curt Gyllenswärd,Karolinska Institutet,1943,1962
Q5743374,Sten Friberg,Karolinska Institutet,1943,1969
Q28356555,Gunnar Fischer (läkare),Karolinska Institutet,1944,1955
Q457472,Torbjörn Caspersson,Karolinska Institutet,1944,1970
Q42912199,Erik Lysholm,Karolinska Institutet,1945,1947
Q3495578,Torsten Sjögren,Karolinska Institutet,1945,1961
Q217722,Ragnar Granit,Karolinska Institutet,1946,1967
Q3719539,Erik Jorpes,Karolinska Institutet,1947,1963
Q5751717,Sven Gard,Karolinska Institutet,1947,1970
Q98794669,Åke Wilton,Karolinska Institutet,1947,1962
Q41805939,Berndt Malmgren,Karolinska Institutet,1948,1970
Q5040248,Carl Gustaf Bernhard,Karolinska Institutet,1948,1970
Q2975553,Clarence Crafoord (kirurg),Karolinska Institutet,1948,1966
Q6085925,Gösta Rylander,Karolinska Institutet,1948,1970
Q112565689,Erik Adolf Mauritz Lindgren,Karolinska Institutet,1949,1970
Q5902678,Gösta Karpe,Karolinska Institutet,1949,1970
Q24681257,Per Wetterdal,Karolinska Institutet,1949,1958
Q4121440,Arne Engström,Karolinska Institutet,1952,1970
Q6220862,Börje Uvnäs,Karolinska Institutet,1952,1970
Q5954421,Knut Lindblom,Karolinska Institutet,1952,1963
Q6073030,Nils Ringertz (1932–2002),Karolinska Institutet,1952,1969
Q37008217,Sven Hultberg,Karolinska Institutet,1953,1964
Q1351399,Eric Kugelberg,Karolinska Institutet,1954,1970
Q106412368,Lars Santesson,Karolinska Institutet,1954,1968
Q6012308,Åke Nilzén,Karolinska Institutet,1955,1970
Q28356551,Henrik Lagerlöf (läkare),Karolinska Institutet,1956,1970
Q27093876,Olof Torgny Sjöstrand,Karolinska Institutet,1956,1970
Q513281,Georg Klein,Karolinska Institutet,1957,1970
Q16488974,Jack Adams-Ray,Karolinska Institutet,1957,1970
Q16467604,John Lind (läkare),Karolinska Institutet,1957,1970
Q109812522,Lars Torsten Friberg,Karolinska Institutet,1957,1970
Q60674862,Leonard Goldberg,Karolinska Institutet,1957,1970
Q5576993,Gunnar Biörck,Karolinska Institutet,1958,1970
Q6179283,Hjalmar Sjövall,Karolinska Institutet,1958,1969
Q295696,Sune Bergström,Karolinska Institutet,1958,1970
Q5544467,Sven Ahnsjö,Karolinska Institutet,1958,1970
Q5823196,Axel Ingelman-Sundberg,Karolinska Institutet,1959,1970
Q156480,Hugo Theorell,Karolinska Institutet,1959,1970
Q18649261,Carl-Axel Hamberger,Karolinska Institutet,1960,1970
Q949007,Carl-Henry Alström,Karolinska Institutet,1960,1970
Q5740442,Curt Franksson,Karolinska Institutet,1960,1970
Q2980614,Lars Leksell,Karolinska Institutet,1960,1970
Q5785580,Nils Peter Hamberg,Karolinska Institutet,1960,1964
Q5777525,Bengt Gustafsson (läkare),Karolinska Institutet,1961,1970
Q5965177,Rolf Luft,Karolinska Institutet,1961,1970
Q5582295,Ulf Borell,Karolinska Institutet,1961,1970
Q100948851,Bo Thorell,Karolinska Institutet,1962,1970
Q5613496,Börje Cronholm,Karolinska Institutet,1962,1970
Q5805821,Nils-Åke Hillarp,Karolinska Institutet,1962,1964
Q6252300,Rolf Zetterström,Karolinska Institutet,1962,1970
Q112378301,Arne Gunnar Forssberg,Karolinska Institutet,1963,1970
Q5823399,Gunnar Inghe,Karolinska Institutet,1963,1970
Q6066700,Peter Reichard,Karolinska Institutet,1963,1970
Q95197754,Giuseppe Bertani,Karolinska Institutet,1964,1970
Q5866062,Torsten Gordh,Karolinska Institutet,1964,1970
Q113850390,Rune Ellert Walstam,Karolinska Institutet,1966,1970
Q1907254,Viking Björk,Karolinska Institutet,1966,1970
Q47319064,Bernhard Frankenhaeuser,Karolinska Institutet,1967,1970
Q113850554,Björn Nordenström,Karolinska Institutet,1967,1970
Q19631530,Gustav Giertz,Karolinska Institutet,1967,1970
Q316519,Jerzy Einhorn,Karolinska Institutet,1967,1970
Q6210195,Nils Thyresson,Karolinska Institutet,1968,1970
Q113850957,Sten Emil Josef Skoglund,Karolinska Institutet,1968,1970
Q113851015,Bengt Olof Engfeldt,Karolinska Institutet,1969,1970
Q5806792,Carl Hirsch,Karolinska Institutet,1969,1970
Q5570142,Elias Bengtsson,Karolinska Institutet,1969,1970
Q6053343,Jan Pontén,Karolinska Institutet,1969,1970
Q81130,Anders Celsius,RSAS,1739,1744
Q6014686,Anders Johan Nordenskiöld,RSAS,1739,1763
Q491083,Anders Johan von Höpken,RSAS,1739,1789
Q6080180,Anders Rosensten,RSAS,1739,1740
Q5624361,Anders von Drake,RSAS,1739,1744
Q555926,Augustin Ehrensvärd,RSAS,1739,1772
Q6014702,Carl Fredric Nordenskiöld,RSAS,1739,1779
Q5040384,Carl Johan Cronstedt,RSAS,1739,1777
Q363545,Carl Wilhelm Cederhielm,RSAS,1739,1769
Q1043,Carl von Linné,RSAS,1739,1778
Q386375,Charles De Geer,RSAS,1739,1778
Q353693,Christopher Polhem,RSAS,1739,1751
Q770582,Daniel Tilas,RSAS,1739,1772
Q6049683,Elias Pilgren,RSAS,1739,1749
Q6070190,Evald Ribe,RSAS,1739,1752
Q6052663,Gabriel Polhem,RSAS,1739,1772
Q473225,Georg Brandt,RSAS,1739,1768
Q6174571,Gilbert Sheldon,RSAS,1739,1794
Q6206633,Hans Teurloen,RSAS,1739,1743
Q1389093,Jacob Faggot,RSAS,1739,1777
Q6166963,Johan Julius Salberg,RSAS,1739,1753
Q632219,Jonas Alströmer,RSAS,1739,1761
Q5983691,Jonas Meldercreutz,RSAS,1739,1785
Q55071968,Lars Roberg,RSAS,1739,1742
Q6193505,Mårten Strömer,RSAS,1739,1770
Q363197,Mårten Triewald,RSAS,1739,1747
Q6068916,Nils Reuterholm,RSAS,1739,1756
Q1371153,Nils Rosén von Rosenstein,RSAS,1739,1773
Q6338167,Nils Wallerius,RSAS,1739,1764
Q6092034,Olof Sandberg,RSAS,1739,1750
Q5710407,Pehr Elvius,RSAS,1739,1749
Q980778,Samuel Klingenstierna,RSAS,1739,1765
Q362485,Sten Carl Bielke,RSAS,1739,1753
Q6051886,Thomas Plomgren,RSAS,1739,1754
Q5605583,Bernhard Cederholm,RSAS,1740,1750
Q5613560,Carl Cronstedt,RSAS,1740,1750
Q5629580,Claes Ekeblad den yngre,RSAS,1740,1771
Q5771745,Claes Grill,RSAS,1740,1767
Q6192693,Claës Stromberg,RSAS,1740,1782
Q6211583,Daniel Tiselius,RSAS,1740,1744
Q1340404,Erik Benzelius den yngre,RSAS,1740,1743
Q6190882,Erik von Stockenström,RSAS,1740,1790
