qid,name,gender,year,prize,portion,motivation,affiliation
Q102822,Jacobus Henricus van 't Hoff,male,1901,Chemistry,1,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Berlin University
Q70554,Hermann Emil Fischer,male,1902,Chemistry,1,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Berlin University
Q80956,Svante August Arrhenius,male,1903,Chemistry,1,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Stockholm University
Q950726,Sir William Ramsay,male,1904,Chemistry,1,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",University College
Q57078,Johann Friedrich Wilhelm Adolf von Baeyer,male,1905,Chemistry,1,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Munich University
Q102804,Henri Moissan,male,1906,Chemistry,1,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Sorbonne University
Q43917,Eduard Buchner,male,1907,Chemistry,1,for his biochemical researches and his discovery of cell-free fermentation,Landwirtschaftliche Hochschule (Agricultural College)
Q9123,Ernest Rutherford,male,1908,Chemistry,1,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Victoria University
Q12658,Wilhelm Ostwald,male,1909,Chemistry,1,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Leipzig University
Q57127,Otto Wallach,male,1910,Chemistry,1,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Goettingen University
Q7186,"Marie Curie, née Skłodowska",female,1911,Chemistry,1,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",Sorbonne University
Q104575,Paul Sabatier,male,1912,Chemistry,1/2,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,Toulouse University
Q104582,Victor Grignard,male,1912,Chemistry,1/2,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",Nancy University
Q123014,Alfred Werner,male,1913,Chemistry,1,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,University of Zurich
Q189465,Theodore William Richards,male,1914,Chemistry,1,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Harvard University
Q77072,Richard Martin Willstätter,male,1915,Chemistry,1,"for his researches on plant pigments, especially chlorophyll",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie
Q57075,Fritz Haber,male,1918,Chemistry,1,for the synthesis of ammonia from its elements,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie
Q57125,Walther Hermann Nernst,male,1920,Chemistry,1,in recognition of his work in thermochemistry,Berlin University
Q102830,Frederick Soddy,male,1921,Chemistry,1,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",University of Oxford
Q102291,Francis William Aston,male,1922,Chemistry,1,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",University of Cambridge
Q78482,Fritz Pregl,male,1923,Chemistry,1,for his invention of the method of micro-analysis of organic substances,Graz University
Q78481,Richard Adolf Zsigmondy,male,1925,Chemistry,1,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",Goettingen University
Q186391,The (Theodor) Svedberg,male,1926,Chemistry,1,for his work on disperse systems,Uppsala University
Q76610,Heinrich Otto Wieland,male,1927,Chemistry,1,for his investigations of the constitution of the bile acids and related substances,Munich University
Q77142,Adolf Otto Reinhold Windaus,male,1928,Chemistry,1,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Goettingen University
Q189803,Arthur Harden,male,1929,Chemistry,1/2,for their investigations on the fermentation of sugar and fermentative enzymes,London University
Q76613,Hans Karl August Simon von Euler-Chelpin,male,1929,Chemistry,1/2,for their investigations on the fermentation of sugar and fermentative enzymes,Stockholm University
Q76604,Hans Fischer,male,1930,Chemistry,1,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,Technische Hochschule (Institute of Technology)
Q76606,Carl Bosch,male,1931,Chemistry,1/2,in recognition of their contributions to the invention and development of chemical high pressure methods,University of Heidelberg
Q76614,Friedrich Bergius,male,1931,Chemistry,1/2,in recognition of their contributions to the invention and development of chemical high pressure methods,University of Heidelberg
Q184286,Irving Langmuir,male,1932,Chemistry,1,for his discoveries and investigations in surface chemistry,General Electric Company
Q179777,Harold Clayton Urey,male,1934,Chemistry,1,for his discovery of heavy hydrogen,Columbia University
Q150989,Frédéric Joliot,male,1935,Chemistry,1/2,in recognition of their synthesis of new radioactive elements,Institut du Radium
Q7504,Irène Joliot-Curie,female,1935,Chemistry,1/2,in recognition of their synthesis of new radioactive elements,Institut du Radium
Q103835,Petrus (Peter) Josephus Wilhelmus Debye,male,1936,Chemistry,1,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,Berlin University
Q73093,Paul Karrer,male,1937,Chemistry,1/2,"for his investigations on carotenoids, flavins and vitamins A and B2",University of Zurich
Q204600,Walter Norman Haworth,male,1937,Chemistry,1/2,for his investigations on carbohydrates and vitamin C,Birmingham University
Q78483,Richard Kuhn,male,1938,Chemistry,1,for his work on carotenoids and vitamins,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung
Q5327,Adolf Friedrich Johann Butenandt,male,1939,Chemistry,1/2,for his work on sex hormones,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie
Q122996,Leopold Ruzicka,male,1939,Chemistry,1/2,for his work on polymethylenes and higher terpenes,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Q76951,George de Hevesy,male,1943,Chemistry,1,for his work on the use of isotopes as tracers in the study of chemical processes,Stockholm University
Q57065,Otto Hahn,male,1944,Chemistry,1,for his discovery of the fission of heavy nuclei,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie
Q157239,Artturi Ilmari Virtanen,male,1945,Chemistry,1,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",University of Helsinki
Q106756,James Batcheller Sumner,male,1946,Chemistry,1/2,for his discovery that enzymes can be crystallized,Cornell University
Q106399,John Howard Northrop,male,1946,Chemistry,1/4,for their preparation of enzymes and virus proteins in a pure form,Rockefeller Institute for Medical Research
Q105937,Wendell Meredith Stanley,male,1946,Chemistry,1/4,for their preparation of enzymes and virus proteins in a pure form,Rockefeller Institute for Medical Research
Q49351,Sir Robert Robinson,male,1947,Chemistry,1,"for his investigations on plant products of biological importance, especially the alkaloids",University of Oxford
Q233026,Arne Wilhelm Kaurin Tiselius,male,1948,Chemistry,1,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Uppsala University
Q110073,William Francis Giauque,male,1949,Chemistry,1,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",University of California
Q76595,Kurt Alder,male,1950,Chemistry,1/2,for their discovery and development of the diene synthesis,Cologne University
Q76616,Otto Paul Hermann Diels,male,1950,Chemistry,1/2,for their discovery and development of the diene synthesis,Kiel University
Q19009,Edwin Mattison McMillan,male,1951,Chemistry,1/2,for their discoveries in the chemistry of the transuranium elements,University of California
Q48973,Glenn Theodore Seaborg,male,1951,Chemistry,1/2,for their discoveries in the chemistry of the transuranium elements,University of California
Q48977,Archer John Porter Martin,male,1952,Chemistry,1/2,for their invention of partition chromatography,National Institute for Medical Research
Q48979,Richard Laurence Millington Synge,male,1952,Chemistry,1/2,for their invention of partition chromatography,Rowett Research Institute
Q48956,Hermann Staudinger,male,1953,Chemistry,1,for his discoveries in the field of macromolecular chemistry,University of Freiburg
Q48983,Linus Carl Pauling,male,1954,Chemistry,1,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,California Institute of Technology (Caltech)
Q33128,Vincent du Vigneaud,male,1955,Chemistry,1,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",Cornell University
Q48990,Nikolay Nikolaevich Semenov,male,1956,Chemistry,1/2,for their researches into the mechanism of chemical reactions,Institute for Chemical Physics of the Academy of Sciences of the USSR
Q48986,Sir Cyril Norman Hinshelwood,male,1956,Chemistry,1/2,for their researches into the mechanism of chemical reactions,University of Oxford
Q157242,Lord (Alexander R.) Todd,male,1957,Chemistry,1,for his work on nucleotides and nucleotide co-enzymes,University of Cambridge
Q151564,Frederick Sanger,male,1958,Chemistry,1,"for his work on the structure of proteins, especially that of insulin",University of Cambridge
Q157701,Jaroslav Heyrovsky,male,1959,Chemistry,1,for his discovery and development of the polarographic methods of analysis,Polarographic Institute of the Czechoslovak Academy of Science
Q190486,Willard Frank Libby,male,1960,Chemistry,1,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",University of California
Q49347,Melvin Calvin,male,1961,Chemistry,1,for his research on the carbon dioxide assimilation in plants,University of California
Q232295,John Cowdery Kendrew,male,1962,Chemistry,1/2,for their studies of the structures of globular proteins,MRC Laboratory of Molecular Biology
Q78480,Max Ferdinand Perutz,male,1962,Chemistry,1/2,for their studies of the structures of globular proteins,MRC Laboratory of Molecular Biology
Q234145,Giulio Natta,male,1963,Chemistry,1/2,for their discoveries in the field of the chemistry and technology of high polymers,Institute of Technology
Q76624,Karl Ziegler,male,1963,Chemistry,1/2,for their discoveries in the field of the chemistry and technology of high polymers,Max-Planck-Institut für Kohlenforschung
