person_id,lastname,firstname,gender,birth_year,death_year,full_name
511,Arrhenius,Svante,M,1859,1927,Svante Arrhenius
802,Becquerel,Henri,M,1852,1908,Henri Becquerel
1568,Campbell,William,M,1862,1938,William Campbell
5373,Lenard,Philipp E.A. v.,M,1862,1947,Philipp E.A. v. Lenard
8006,Röntgen,Wilhelm,M,1845,1923,Wilhelm Röntgen
5533,Lippmann,Gabriel,M,1845,1921,Gabriel Lippmann
5901,Marconi,Guglielmo,M,1874,1937,Guglielmo Marconi
6750,Nordenskiöld,Adolf,M,1832,NA,Adolf Nordenskiöld
11503,Clark,Grenville,M,1882,1967,Grenville Clark
9249,"Thomson, Lord Kelvin",William,M,1824,1907,"William Thomson, Lord Kelvin"
9528,van der Waals,Johannes,M,1837,1923,Johannes van der Waals
10386,Zeeman,Pieter,M,1865,1943,Pieter Zeeman
2051,Curie,Marie,F,1867,1934,Marie Curie
2053,Curie,Pierre,M,1859,1906,Pierre Curie
8852,"Strutt, Lord Rayleigh",John,M,1842,1919,"John Strutt, Lord Rayleigh"
877,Benoit,René,M,1844,NA,René Benoit
1722,Chappuis,Pierre,M,1855,NA,Pierre Chappuis
3710,Guillaume,Charles,M,1861,1938,Charles Guillaume
4221,Hittorf,Wilhelm,M,1824,NA,Wilhelm Hittorf
4801,Kerr,John,M,1824,NA,John Kerr
5636,Lorentz,Hendrik,M,1853,1928,Hendrik Lorentz
9247,Thomson,Joseph,M,1856,1940,Joseph Thomson
1133,Boltzmann,Ludwig,M,1844,1906,Ludwig Boltzmann
5299,Le Bon,Gustave,M,1841,NA,Gustave Le Bon
276,Abbe,Ernst,M,1840,1905,Ernst Abbe
4958,Kohlrausch,Friedrich,M,1840,NA,Friedrich Kohlrausch
1289,Branly,Edouard,M,1844,NA,Edouard Branly
2412,Dewar,James,M,1842,1923,James Dewar
6861,Olszewski,Karol,M,1846,NA,Karol Olszewski
19299,Kaufmann,Walter,M,1871,1947,Walter Kaufmann
2773,Elster,Julius,M,1854,NA,Julius Elster
3380,Geitel,Hans,M,1855,NA,Hans Geitel
3972,Heaviside,Oliver,M,1850,1925,Oliver Heaviside
8273,Schuster,Arthur,M,1851,NA,Arthur Schuster
7313,Poincaré,Henri,M,1854,NA,Henri Poincaré
6266,Michelson,Albert,M,1852,1931,Albert Michelson
7552,Ramsay,William,M,1852,1916,William Ramsay
1084,Blondlot,René,M,1849,NA,René Blondlot
1298,Braun,Ferdinand,M,1850,1918,Ferdinand Braun
