person_id,name
511,Svante A Arrhenius
802,Henri A Becquerel
1568,William W Campbell
5373,Philipp E.A. v. Lenard
8006,Wilhelm C Röntgen
5533,Gabriel Lippmann
5901,Guglielmo Marconi
6750,Adolf E Nordenskiöld
11503,Grenville Clark
9249,"William Thomson, Lord Kelvin"
9528,Johannes D van der Waals
10386,Pieter Zeeman
2051,Marie Curie
2053,Pierre Curie
8852,"John W Strutt, Lord Rayleigh"
877,René Benoit
1722,Pierre Chappuis
3710,Charles E Guillaume
4221,Wilhelm Hittorf
4801,John Kerr
5636,Hendrik A Lorentz
9247,Joseph J Thomson
1133,Ludwig Boltzmann
5299,Gustave Le Bon
276,Ernst Abbe
4958,Friedrich Kohlrausch
1289,Edouard Branly
2412,James Dewar
6861,Karol Olszewski
19299,Walter Kaufmann
2773,Julius Elster
3380,Hans Geitel
3972,Oliver Heaviside
8273,Arthur Schuster
7313,Henri Poincaré
6266,Albert A Michelson
7552,William Ramsay
1084,René Blondlot
1298,Ferdinand C Braun
5320,Petr N Lebedev
4746,Heinrich Kayser
7738,Augusto Righi
9776,Julius von Hann
2031,William Crookes
2583,Pierre Duhem
5627,Ernest Lord Rutherford
3776,Ernst Hagen
7945,Heinrich Rubens
7283,Max K Planck
10170,Wilhelm Wien
397,Emile Amagat
2252,Gustaf de Laval
7371,Valdemar Poulsen
10322,Wilbur Wright
2912,Henri Farman
9696,Gabriel Voisin
10319,Orville Wright
3795,George E Hale
7384,John H Poynting
4701,Heike Kamerlingh Onnes
291,Henri Abraham
5223,Paul Langevin
10454,Knut Ångström
2728,Albert Einstein
3717,Allvar Gullstrand
5694,Otto Lummer
2878,Loránd Eötvös
2889,Charles Fabry
3522,Eugen Goldstein
5763,Ernst Mach Jr
6650,Walther H Nernst
2114,Nils G Dalén
3768,Robert Hadfield
2394,Henri Deslandres
1544,Hugh L Callendar
9816,Carl von Linde
7136,Jean B Perrin
8915,Theodor Svedberg
3153,Hermann Frahm
5350,Otto Lehmann
8584,Adolf Slaby
9893,Ferdinand von Zeppelin
1276,William Henry Bragg
9807,Max von Laue
7011,Friedrich Paschen
3580,Georges Gouy
