person_id,name,gender,birth_year,death_year,qid,match_method,multi_match_count
511,Svante Arrhenius,M,1859,1927,Q80956,wikidata_name_birthyear,1
802,Henri Becquerel,M,1852,1908,Q41269,wikidata_name_birthyear,1
1568,William Campbell,M,1862,1938,Q353818,wikidata_name_birthyear,1
5373,Philipp E.A. v. Lenard,M,1862,1947,Q57063,wikidata_name_birthyear,1
8006,Wilhelm Röntgen,M,1845,1923,Q35149,wikidata_name_birthyear,1
5533,Gabriel Lippmann,M,1845,1921,Q133232,wikidata_name_birthyear,1
5901,Guglielmo Marconi,M,1874,1937,Q36488,wikidata_name_birthyear,1
6750,Adolf Nordenskiöld,M,1832,NA,Q156749,wikidata_name_birthyear,1
11503,Grenville Clark,M,1882,1967,Q5607510,wikidata_name_birthyear,1
9249,"William Thomson, Lord Kelvin",M,1824,1907,Q122701,wikidata_name_birthyear,1
9528,Johannes van der Waals,M,1837,1923,Q131721,wikidata_name_birthyear,1
10386,Pieter Zeeman,M,1865,1943,Q79000,wikidata_name_birthyear,1
2051,Marie Curie,F,1867,1934,Q7186,wikidata_name_birthyear,1
2053,Pierre Curie,M,1859,1906,Q37463,wikidata_name_birthyear,1
8852,"John Strutt, Lord Rayleigh",M,1842,1919,Q83297,wikidata_name_birthyear,1
877,René Benoit,M,1844,NA,Q55711481,wikidata_name_birthyear,1
1722,Pierre Chappuis,M,1855,NA,Q2093279,wikidata_name_birthyear,1
3710,Charles Guillaume,M,1861,1938,Q123026,wikidata_name_birthyear,1
4221,Wilhelm Hittorf,M,1824,NA,Q60428,wikidata_name_birthyear,1
4801,John Kerr,M,1824,NA,Q918672,wikidata_name_birthyear,1
5636,Hendrik Lorentz,M,1853,1928,Q41688,wikidata_name_birthyear,1
9247,Joseph Thomson,M,1856,1940,Q15996174,wikidata_name_birthyear,2
1133,Ludwig Boltzmann,M,1844,1906,Q84296,wikidata_name_birthyear,1
5299,Gustave Le Bon,M,1841,NA,Q294572,wikidata_name_birthyear,1
276,Ernst Abbe,M,1840,1905,Q76359,wikidata_name_birthyear,1
4958,Friedrich Kohlrausch,M,1840,NA,Q61090,wikidata_name_birthyear,1
1289,Edouard Branly,M,1844,NA,Q274251,wikidata_name_birthyear,1
2412,James Dewar,M,1842,1923,Q277579,wikidata_name_birthyear,1
6861,Karol Olszewski,M,1846,NA,Q909150,wikidata_name_birthyear,1
19299,Walter Kaufmann,M,1871,1947,Q64978,wikidata_name_birthyear,2
2773,Julius Elster,M,1854,NA,Q75153,wikidata_name_birthyear,1
3380,Hans Geitel,M,1855,NA,Q73170,wikidata_name_birthyear,1
3972,Oliver Heaviside,M,1850,1925,Q154345,wikidata_name_birthyear,1
8273,Arthur Schuster,M,1851,NA,Q711452,wikidata_name_birthyear,1
7313,Henri Poincaré,M,1854,NA,Q81082,wikidata_name_birthyear,1
6266,Albert Michelson,M,1852,1931,Q127234,wikidata_name_birthyear,1
7552,William Ramsay,M,1852,1916,Q950726,wikidata_name_birthyear,2
1084,René Blondlot,M,1849,NA,Q1377436,wikidata_name_birthyear,1
1298,Ferdinand Braun,M,1850,1918,Q57077,wikidata_name_birthyear,1
5320,Petr Lebedev,M,1866,NA,Q471369,wikidata_name_birthyear,1
4746,Heinrich Kayser,M,1853,NA,Q68556,wikidata_name_birthyear,1
7738,Augusto Righi,M,1850,NA,Q742634,wikidata_name_birthyear,1
9776,Julius von Hann,M,1839,NA,Q113090,wikidata_name_birthyear,1
2031,William Crookes,M,1832,NA,Q189552,wikidata_name_birthyear,1
2583,Pierre Duhem,M,1861,NA,Q314172,wikidata_name_birthyear,1
5627,Ernest Lord Rutherford,M,1871,1937,Q9123,wikidata_name_birthyear,1
3776,Ernst Hagen,M,1851,NA,Q15446442,wikidata_name_birthyear,1
7945,Heinrich Rubens,M,1865,NA,Q61810,wikidata_name_birthyear,1
7283,Max Planck,M,1858,1947,Q9021,wikidata_name_birthyear,1
10170,Wilhelm Wien,M,1864,1928,Q57068,wikidata_name_birthyear,1
397,Emile Amagat,M,1841,NA,Q2468760,wikidata_name_birthyear,1
2252,Gustaf de Laval,M,1845,NA,Q364270,wikidata_name_birthyear,1
7371,Valdemar Poulsen,M,1869,NA,Q442681,wikidata_name_birthyear,1
10322,Wilbur Wright,M,1867,1912,Q1396131,wikidata_name_birthyear,1
2912,Henri Farman,M,1874,1958,Q22401,wikidata_name_birthyear,1
9696,Gabriel Voisin,M,1880,NA,Q537074,wikidata_name_birthyear,1
10319,Orville Wright,M,1871,1948,Q494455,wikidata_name_birthyear,1
3795,George Hale,M,1868,1938,Q312288,wikidata_name_birthyear,1
7384,John Poynting,M,1852,NA,Q470590,wikidata_name_birthyear,1
4701,Heike Kamerlingh Onnes,M,1853,1926,Q62891,wikidata_name_birthyear,1
291,Henri Abraham,M,1868,NA,Q324919,wikidata_name_birthyear,1
5223,Paul Langevin,M,1872,1946,Q25320,wikidata_name_birthyear,1
10454,Knut Ångström,M,1857,NA,Q722373,wikidata_name_birthyear,1
2728,Albert Einstein,M,1879,1955,Q937,wikidata_name_birthyear,1
3717,Allvar Gullstrand,M,1862,1930,Q192651,wikidata_name_birthyear,1
5694,Otto Lummer,M,1860,NA,Q66885,wikidata_name_birthyear,1
2878,Loránd Eötvös,M,1848,1919,Q323260,wikidata_name_birthyear,1
2889,Charles Fabry,M,1867,NA,Q319289,wikidata_name_birthyear,1
3522,Eugen Goldstein,M,1850,NA,Q61433,wikidata_name_birthyear,1
5763,Ernst Mach Jr,M,1838,NA,Q93996,wikidata_name_birthyear,1
6650,Walther Nernst,M,1864,1941,Q57125,wikidata_name_birthyear,1
2114,Nils Dalén,M,1869,1937,Q160518,wikidata_name_birthyear,1
3768,Robert Hadfield,M,1858,NA,Q3435328,wikidata_name_birthyear,1
2394,Henri Deslandres,M,1853,NA,Q520771,wikidata_name_birthyear,1
1544,Hugh Callendar,M,1863,NA,Q1634453,wikidata_name_birthyear,1
9816,Carl von Linde,M,1842,NA,Q61864,wikidata_name_birthyear,1
7136,Jean Perrin,M,1870,1942,Q134085,wikidata_name_birthyear,1
8915,Theodor Svedberg,M,1884,1971,Q186391,wikidata_name_birthyear,1
3153,Hermann Frahm,M,1867,NA,Q20048041,wikidata_name_birthyear,1
5350,Otto Lehmann,M,1855,NA,Q64981,wikidata_name_birthyear,2
8584,Adolf Slaby,M,1849,NA,Q75523,wikidata_name_birthyear,1
9893,Ferdinand von Zeppelin,M,1838,NA,Q75780,wikidata_name_birthyear,1
1276,William Henry Bragg,M,1862,1942,Q133747,wikidata_name_birthyear,1
9807,Max von Laue,M,1879,1960,Q57067,wikidata_name_birthyear,1
7011,Friedrich Paschen,M,1865,NA,Q57805,wikidata_name_birthyear,1
3580,Georges Gouy,M,1854,1926,Q563225,wikidata_name_birthyear,1
4930,Martin Knudsen,M,1871,NA,Q447886,wikidata_name_birthyear,1
5302,Henry Le Châtelier,M,1850,1936,Q121926,wikidata_name_birthyear,1
8735,Johannes Stark,M,1874,1957,Q57092,wikidata_name_birthyear,1
10300,Robert Wood,M,1868,NA,Q550926,wikidata_name_birthyear,1
8873,Carl Störmer,M,1874,NA,Q858532,wikidata_name_birthyear,1
1038,Kristian Birkeland,M,1867,NA,Q461624,wikidata_name_birthyear,1
11051,William Lawrence Bragg,M,1890,1971,Q131729,wikidata_name_birthyear,1
2142,Charles Darwin,M,1887,NA,Q1064506,wikidata_name_birthyear,1
6456,Henry Moseley,M,1887,NA,Q310759,wikidata_name_birthyear,1
2688,Thomas Edison,M,1847,1931,Q8743,wikidata_name_birthyear,1
1637,G Casalis,NA,NA,NA,NA,no_data,0
7051,N Pavia,NA,NA,NA,NA,no_data,0
1989,Aimé Cotton,M,1869,NA,Q405699,wikidata_name_birthyear,1
10215,Charles Wilson,M,1869,1959,NA,unmatched,0
6487,Henri Mouton,M,1885,NA,NA,unmatched,0
10065,Pierre Weiss,M,1865,1940,Q299841,wikidata_name_birthyear,1
2574,Alexandre Dufour,M,1875,NA,Q2833632,wikidata_name_birthyear,1
2966,Gustav Ferrié,M,1868,NA,Q644679,wikidata_name_birthyear,1
2325,Petrus Debye,M,1884,1966,Q103835,wikidata_name_birthyear,1
7972,Carl Runge,M,1856,NA,Q57564,wikidata_name_birthyear,1
5229,Irving Langmuir,M,1881,1957,Q184286,wikidata_name_birthyear,1
6292,Robert Millikan,M,1868,1953,Q130975,wikidata_name_birthyear,1
7077,Peder Pedersen,M,1874,NA,Q3310578,wikidata_name_birthyear,1
1118,Niels Bohr,M,1885,1962,Q7085,wikidata_name_birthyear,1
7996,Johannes Rydberg,M,1854,NA,Q311567,wikidata_name_birthyear,1
8661,Arnold Sommerfeld,M,1868,1951,Q77078,wikidata_name_birthyear,1
711,Charles Barkla,M,1877,1944,Q160522,wikidata_name_birthyear,1
7128,Alfred Pérot,M,1863,NA,Q1354932,wikidata_name_birthyear,1
5721,Theodore Lyman,M,1874,NA,Q970745,wikidata_name_birthyear,2
8091,Fernando Sanford,M,1854,NA,Q5444916,wikidata_name_birthyear,1
1336,Percy Bridgman,M,1882,1961,Q172118,wikidata_name_birthyear,1
308,Walter Adams,M,1876,NA,Q312806,wikidata_name_birthyear,1
729,Carl Barus,M,1856,NA,Q5039871,wikidata_name_birthyear,1
5691,Auguste Lumière,M,1862,NA,Q4272245,wikidata_name_birthyear,1
5692,Louis Lumière,M,1865,NA,NA,unmatched,0
3374,Ernst Gehrcke,M,1878,NA,Q73016,wikidata_name_birthyear,1
277,Charles Abbot,M,1872,NA,NA,unmatched,0
546,Francis Aston,M,1877,1945,Q102291,wikidata_name_birthyear,1
1934,William Coolidge,M,1873,NA,Q674299,wikidata_name_birthyear,1
3587,Leo Graetz,M,1856,NA,Q66183,wikidata_name_birthyear,1
1046,Vilhelm Bjerknes,M,1862,1951,Q164389,wikidata_name_birthyear,1
3167,James Franck,M,1882,1964,Q57066,wikidata_name_birthyear,1
3294,Wolfgang Gaede,M,1878,NA,Q92430,wikidata_name_birthyear,1
2903,Kasimir Fajans,M,1887,NA,Q213667,wikidata_name_birthyear,1
8646,Frederick Soddy,M,1877,1956,Q102830,wikidata_name_birthyear,1
4110,Gustav Hertz,M,1887,1975,Q57070,wikidata_name_birthyear,1
7710,Owen Richardson,M,1879,1959,Q169330,wikidata_name_birthyear,1
7702,Jules Richard,M,1862,NA,Q726779,wikidata_name_birthyear,1
8483,William Shaw,M,1854,NA,NA,unmatched,0
9325,John Townsend,M,1868,NA,NA,unmatched,0
2200,Prince Louis-Victor de Broglie,M,1892,1987,Q83331,wikidata_name_birthyear,1
2198,Maurice de Broglie,M,1875,NA,Q18443,wikidata_name_birthyear,1
1918,Arthur Compton,M,1892,1962,Q127944,wikidata_name_birthyear,1
3060,John Fleming,M,1849,NA,NA,unmatched,0
