qid,name,body,startyear,endyear
Q5716261,Henrik Söderbaum,Nobel Committee for Chemistry,1900,1933
Q6240299,Oskar Widman,Nobel Committee for Chemistry,1900,1928
Q6047248,Otto Pettersson,Nobel Committee for Chemistry,1900,1912
Q377822,Per Teodor Cleve,Nobel Committee for Chemistry,1900,1905
Q5786924,Olof Hammarsten,Nobel Committee for Chemistry,1905,1926
Q186391,The Svedberg,Nobel Committee for Chemistry,1925,1964
Q6238013,Arne Westgren,Nobel Committee for Chemistry,1926,NA
Q6034173,Wilhelm Palmær,Nobel Committee for Chemistry,1926,1942
Q76613,Hans von Euler-Chelpin,Nobel Committee for Chemistry,1929,1946
Q5810786,Bror Holmberg,Nobel Committee for Chemistry,1934,1953
Q6238013,Arne Westgren,Nobel Committee for Chemistry,1942,1964
Q6256995,Arne Ölander,Nobel Committee for Chemistry,1943,1965
Q4492548,Arne Fredga,Nobel Committee for Chemistry,1944,1975
Q233026,Arne Tiselius,Nobel Committee for Chemistry,1947,1971
Q5999605,Karl Myrbäck,Nobel Committee for Chemistry,1954,1975
Q6256995,Arne Ölander,Nobel Committee for Chemistry,1965,1974
Q5819153,Gunnar Hägg,Nobel Committee for Chemistry,1965,1976
Q5971682,Arne Magnéli,Nobel Committee for Chemistry,1966,1986
Q6189083,Einar Stenhagen,Nobel Committee for Chemistry,1972,1973
Q5974216,Bo G. Malmström,Nobel Committee for Chemistry,1973,1988
Q5573072,Göran Bergson,Nobel Committee for Chemistry,1974,1984
Q5609187,Stig Claesson,Nobel Committee for Chemistry,1975,1983
Q5953399,Bengt Lindberg,Nobel Committee for Chemistry,1976,NA
Q5718294,Lars Ernster,Nobel Committee for Chemistry,1977,1988
Q5737095,Sture Forsén,Nobel Committee for Chemistry,1983,1995
Q5957556,Ingvar Lindqvist,Nobel Committee for Chemistry,1986,NA
Q5908495,Peder Kierkegaard,Nobel Committee for Chemistry,1987,1995
Q6078284,Björn Roos,Nobel Committee for Chemistry,1988,2000
Q5772656,Salo Gronowitz,Nobel Committee for Chemistry,1988,1987
Q5554146,Bertil Andersson,Nobel Committee for Chemistry,1989,1997
Q5588940,Carl-Ivar Brändén,Nobel Committee for Chemistry,1990,2000
