qid,name,gender,birth_country,nationality,birth_year,death_year,occupation,institution,birth_country_modern,birth_subregion,birth_continent,nationality_modern
Q1000729,José Maria Ferreira de Castro,male,Portugal,Portugal,1898,1974,writer; journalist,NA,Portugal,Southern Europe,Europe,Portugal
Q1001,Mahatma Gandhi,male,India,India,1869,1948,politician; writer; journalist; philosopher; humanitarian; revolutionary; barrister; autobiographer; essayist; civil rights advocate; freedom fighter; peace activist; memoirist; newspaper editor; political writer,NA,India,Southern Asia,Asia,India
Q1002250,Duncan Haldane,male,United Kingdom,United Kingdom; Slovenia,1951,NA,university teacher; physicist,"University of California, San Diego; Princeton University; University of Southern California; Bell Labs; Leiden University; Institut Laue–Langevin",United Kingdom,Northern Europe,Europe,United Kingdom; Slovenia
Q1002332,József Fodor,male,Hungary,Hungary,1843,1901,physician; hygienist; university teacher,NA,Hungary,Eastern Europe,Europe,Hungary
Q100234663,Henri Benoît,male,France,France,1921,2009,physicist; academic,Institut Charles Sadron; University of Strasbourg,France,Western Europe,Europe,France
Q100250538,Saul Patai,male,Hungary,Israel; Hungary,1918,1998,chemist,Hebrew University of Jerusalem,Hungary,Eastern Europe,Europe,Israel; Hungary
Q100323544,Sven Hellerström,male,NA,Sweden,1901,1977,physician,NA,NA,NA,NA,Sweden
Q100640,Hermann Bausinger,male,Germany,Germany,1926,2021,linguist; university teacher; ethnologist; folklorist; germanist,University of Tübingen,Germany,Western Europe,Europe,Germany
Q100948851,Bo Thorell,male,NA,Sweden,1921,1982,scientist; pathologist; cell biologist,NA,NA,NA,NA,Sweden
Q1009503,Bunji Sakita,male,Japan,Japan; Empire of Japan,1930,2002,physicist; theoretical physicist; university teacher,City University of New York; University of Wisconsin–Madison,Japan,Eastern Asia,Asia,Japan
Q101068114,Leon Roudiez,male,NA,NA,1917,2004,philologist; translator,NA,NA,NA,NA,NA
Q101326,Johann Wilhelm Spengel,male,Germany,Germany,1852,1921,translator; writer; zoologist; anthropologist; university teacher,University of Giessen,Germany,Western Europe,Europe,Germany
Q101378,Josef Mattauch,male,Czech Republic,Germany,1895,1976,nuclear physicist; university teacher; chemist; physicist,NA,Czech Republic,Eastern Europe,Europe,Germany
Q1019331,Bård Vegar Solhjell,male,Norway,Norway,1971,NA,politician,Norwegian Agency for Development Cooperation,Norway,Northern Europe,Europe,Norway
Q101993438,Alexandre Giraud Jacques Antoine Mérignhac,male,France,France,1857,1927,jurist; university teacher,NA,France,Western Europe,Europe,France
Q102034,Ronald Ross,male,India,United Kingdom,1857,1932,mathematician; poet; physician; microbiologist; zoologist; novelist; epidemiologist; botanist; malariologist; pathologist,King's College London,India,Southern Asia,Asia,United Kingdom
Q102111,Franz Dirlmeier,male,Germany,Germany; German Reich,1904,1977,translator; university teacher; classical philologist,Johannes Gutenberg University Mainz; University of Würzburg; Heidelberg University; Ludwig-Maximilians-Universität München,Germany,Western Europe,Europe,Germany; German Reich
Q102193438,Walter Baltensperger,male,Switzerland,Switzerland,1927,2015,university teacher; physicist,ETH Zurich,Switzerland,Western Europe,Europe,Switzerland
Q102226864,Werner Känzig,male,Switzerland,Switzerland,1922,2002,teacher; physicist,NA,Switzerland,Western Europe,Europe,Switzerland
