country,sent,received
United States,4281,6508
Germany,3901,3779
France,2994,3177
United Kingdom,1844,2633
Switzerland,1077,1165
Italy,1077,966
Sweden,2286,948
Russia,466,673
Austria,788,647
Netherlands,698,624
Denmark,608,599
Belgium,629,525
Norway,996,388
Spain,326,331
Poland,400,309
Japan,327,243
Brazil,81,213
Finland,515,201
Czech Republic,314,194
India,178,180
Argentina,110,171
Canada,258,139
Hungary,220,132
Romania,123,106
Australia,146,99
Greece,103,94
Serbia,90,86
Israel,88,78
Portugal,77,67
Chile,48,54
Ireland,59,46
Iceland,27,31
South Africa,41,31
Cuba,20,29
Mexico,24,29
Egypt,31,28
Peru,23,26
Venezuela,21,22
Vietnam,6,17
China,18,16
Sri Lanka,17,15
Tunisia,19,15
Haiti,3,13
Algeria,42,12
Dominican Republic,18,12
Faroe Islands,2,11
Colombia,17,10
El Salvador,14,10
Estonia,27,10
Turkey,87,10
Bulgaria,28,9
Ethiopia,5,9
Philippines,19,9
Puerto Rico,20,9
Ukraine,15,9
Uruguay,41,9
Ivory Coast,5,7
Lebanon,22,6
Panama,5,6
Senegal,7,6
Latvia,7,5
Bolivia,5,4
Ecuador,7,4
New Zealand,21,4
Myanmar,0,4
Liberia,3,3
Armenia,0,3
Kenya,2,2
Malta,3,2
Zambia,3,2
Afghanistan,2,1
Bangladesh,3,1
Croatia,16,1
Jordan,2,1
Malaysia,1,1
Nicaragua,5,1
Sudan,2,1
Syria,2,1
Cambodia,0,1
Mongolia,0,1
Costa Rica,2,0
Guatemala,2,0
Kuwait,1,0
Laos,1,0
Pakistan,9,0
Saudi Arabia,2,0
Singapore,5,0
South Korea,3,0
Thailand,2,0
UAE,1,0
