geo_level,n_edges,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,finding,edge_type,prize,decade
continent,197756,0.9454428689900686,0.9454428689900686,1,0,1,1,0.9454428689900686,0.9454428689900686,1,edge_type,governing_body → vetting_body,NA,NA
country,197756,0.6548625578996339,0.3969025508643109,1.6499328524686447,0.4277252497171238,0.996256066126948,1.0037602200855746,0.39541657395982927,0.39839499180808674,9.999000099990002e-5,edge_type,governing_body → vetting_body,NA,NA
continent,96506,0.5061136095165067,0.5029516312281971,1.006286843688305,0.0063615102411921235,0.9970363309676274,1.0027844223909437,0.5014610490539448,0.5043520610117506,9.999000099990002e-5,edge_type,governing_body → laureate,NA,NA
country,96506,0.04438066026982778,0.0417387365073457,1.0632966875271157,0.002756997348356588,0.9744196821255966,1.0250646796169651,0.04067104635981183,0.04278490456551924,9.999000099990002e-5,edge_type,governing_body → laureate,NA,NA
continent,25811,0.7839293324551547,0.7839293324551547,1,0,1,1,0.7839293324551547,0.7839293324551547,1,edge_type,vetting_body → nominator,NA,NA
country,25811,0.054744101352136684,0.05400813119666621,1.013627025026852,7.779878239349606e-4,0.9827806258222131,1.0179311737530807,0.053078144976947815,0.05497656038123281,0.06879312068793121,edge_type,vetting_body → nominator,NA,NA
continent,25844,0.7931047825414023,0.5797153625262581,1.3680934365534927,0.50772595757435,0.9924467633367753,1.0076648588402242,0.5753366351957901,0.5841587989475313,9.999000099990002e-5,edge_type,nominator → nominee,NA,NA
subregion,25844,0.6075297941495125,0.249238542286783,2.437543521862146,0.4772371412806236,0.9806994731293024,1.018583783550448,0.24442810710416343,0.25387033740906984,9.999000099990002e-5,edge_type,nominator → nominee,NA,NA
country,25844,0.4678455347469432,0.09649864888855711,4.8482081369578705,0.4110086668952663,0.9655516660155945,1.0349206187650537,0.09317443120260022,0.0998684414177372,9.999000099990002e-5,edge_type,nominator → nominee,NA,NA
continent,8119,0.7401157778051484,0.6270381996852128,1.1803360276562147,0.3031880960047271,0.98959950057103,1.0106271211003355,0.6205166892474443,0.633701810567804,9.999000099990002e-5,edge_type,nominator → nominee,NA,NA
country,8119,0.3207291538366794,0.08391820882260351,3.821925638506842,0.2585041502786711,0.9334657089440673,1.0699630531764546,0.07833477029190787,0.08978938292893214,9.999000099990002e-5,edge_type,nominator → nominee,NA,NA
continent,8119,0.7401157778051484,0.6270381996852128,1.1803360276562147,0.3031880960047271,0.9898008393009928,1.0104257823703726,0.6206429363222071,0.633575563493041,9.999000099990002e-5,edge_type,nominator → nominee (QID),NA,NA
country,8119,0.3207291538366794,0.08391820882260351,3.821925638506842,0.2585041502786711,0.9319979955652244,1.0670276264187688,0.0782116024140904,0.08954304717329721,9.999000099990002e-5,edge_type,nominator → nominee (QID),NA,NA
continent,529,0.48582230623818523,0.48582230623818523,1,0,1,1,0.48582230623818523,0.48582230623818523,1,edge_type,vetting_body → laureate,NA,NA
country,529,0.017013232514177693,0.017013232514177693,1,0,1,1,0.017013232514177693,0.017013232514177693,1,edge_type,vetting_body → laureate,NA,NA
