from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Western Europe,0.39030335861321774,Western Europe,0.3837254295000774,3870.6384073672807,6931,3060.3615926327193,478.3615926327193,611.3615926327193,TRUE
Northern America,0.17563070732084818,Northern America,0.2571970283237889,1167.4173115616777,3406,2238.5826884383223,431.5826884383223,535.6076884383222,TRUE
Northern Europe,0.24651756694010216,Northern Europe,0.18851570964247022,1201.0335861321778,3062,1860.9664138678222,217.94141386782223,319.9664138678222,TRUE
Northern America,0.17563070732084818,Western Europe,0.3837254295000774,1741.7297245008513,370,-1371.7297245008513,-407.7547245008513,-308.72972450085126,TRUE
Western Europe,0.39030335861321774,Northern America,0.2571970283237889,2594.3464247020584,1434,-1160.3464247020584,-262.37142470205833,-145.34642470205836,TRUE
Western Europe,0.39030335861321774,Northern Europe,0.18851570964247022,1901.5579631635972,928,-973.5579631635972,-179.55796316359715,-69.55796316359715,TRUE
Northern Europe,0.24651756694010216,Western Europe,0.3837254295000774,2444.714711344993,1538,-906.7147113449928,-171.7147113449928,-51.71471134499279,TRUE
Southern Europe,0.06546974152607955,Southern Europe,0.05985915492957746,101.28169014084506,907,805.7183098591549,63.71830985915494,104.71830985915494,TRUE
Eastern Europe,0.06059433524222257,Eastern Europe,0.05540937935304133,86.77108806686272,760,673.2289119331373,32.203911933137285,72.22891193313728,TRUE
Northern Europe,0.24651756694010216,Northern America,0.2571970283237889,1638.602267450859,1034,-604.602267450859,-283.602267450859,-183.60226745085902,TRUE
Northern America,0.17563070732084818,Northern Europe,0.18851570964247022,855.6728060671724,431,-424.67280606717236,-113.67280606717236,-30.67280606717236,TRUE
Western Europe,0.39030335861321774,Southern Europe,0.05985915492957746,603.7992957746478,234,-369.7992957746478,-96.79929577464782,-31.799295774647817,TRUE
Southern Europe,0.06546974152607955,Western Europe,0.3837254295000774,649.2634267141309,351,-298.2634267141309,-16.2634267141309,49.76157328586896,TRUE
Western Europe,0.39030335861321774,Eastern Europe,0.05540937935304133,558.9144095341279,296,-262.9144095341279,-81.91440953412791,-13.889409534128049,TRUE
Eastern Europe,0.06059433524222257,Northern America,0.2571970283237889,402.7705463550534,176,-226.7705463550534,-44.7705463550534,10.254453644946466,TRUE
Southern Europe,0.06546974152607955,Northern Europe,0.18851570964247022,318.9685807150596,123,-195.9685807150596,-40.9685807150596,16.031419284940398,TRUE
Northern America,0.17563070732084818,Southern Europe,0.05985915492957746,271.70070422535207,77,-194.70070422535207,-95.70070422535207,-50.70070422535207,TRUE
Southern Europe,0.06546974152607955,Northern America,0.2571970283237889,435.1773719238508,243,-192.17737192385079,-112.20237192385078,-57.177371923850785,TRUE
Eastern Asia,0.013465407831605014,Eastern Asia,0.010021668472372697,3.4875406283856987,181,177.5124593716143,9.512459371614302,23.512459371614302,TRUE
South America,0.013658876334932672,South America,0.01984986844141774,7.007003559820462,168,160.99299644017952,8.992996440179539,25.99299644017954,TRUE
Eastern Europe,0.06059433524222257,Western Europe,0.3837254295000774,600.9140225971212,444,-156.91402259712117,-27.914022597121175,36.085977402878825,TRUE
Northern America,0.17563070732084818,Eastern Europe,0.05540937935304133,251.5031728834546,99,-152.5031728834546,-34.503172883454596,16.496827116545404,TRUE
Eastern Europe,0.06059433524222257,Northern Europe,0.18851570964247022,295.21560130010835,143,-152.21560130010835,-38.21560130010835,16.784398699891653,TRUE
Northern Europe,0.24651756694010216,Southern Europe,0.05985915492957746,381.362676056338,241,-140.362676056338,33.63732394366201,92.63732394366201,TRUE
Northern Europe,0.24651756694010216,Eastern Europe,0.05540937935304133,353.0131558582263,240,-113.0131558582263,-21.0131558582263,36.9868441417737,TRUE
Southern Asia,0.008086983439096114,Southern Asia,0.007622659031109735,1.5931357375019344,106,104.40686426249806,0.4068642624980656,10.406864262498065,TRUE
Eastern Asia,0.013465407831605014,Western Europe,0.3837254295000774,133.53644946602694,38,-95.53644946602694,-36.53644946602694,-5.536449466026937,TRUE
South America,0.013658876334932672,Western Europe,0.3837254295000774,135.45507661352732,53,-82.45507661352732,-35.455076613527325,-4.455076613527325,TRUE
Western Europe,0.39030335861321774,South America,0.01984986844141774,200.22562296858072,118,-82.22562296858072,-67.22562296858072,-29.225622968580723,TRUE
Western Europe,0.39030335861321774,Eastern Asia,0.010021668472372697,101.0885698808234,28,-73.0885698808234,-25.0885698808234,2.9114301191766003,TRUE
Southern Europe,0.06546974152607955,Eastern Europe,0.05540937935304133,93.75266986534592,22,-71.75266986534592,-17.752669865345922,16.247330134654078,TRUE
Eastern Europe,0.06059433524222257,Southern Europe,0.05985915492957746,93.7394366197183,28,-65.7394366197183,-23.739436619718305,8.260563380281695,TRUE
Australia and New Zealand,0.006461848011143786,Western Europe,0.3837254295000774,64.08214672651292,10,-54.08214672651292,-22.082146726512917,-0.05714672651305364,TRUE
