period,subregion,sent,received,ratio,boot_lo,boot_hi,cross_sent,cross_received,p_dir_cross,total_volume,low_volume,ci_excludes_1
1901-1918,Caribbean,2,15,7.5,0.6666666666666666,32,2,15,0.002349853515625002,17,TRUE,FALSE
1901-1918,South-Eastern Asia,0,7,7,2,13,0,7,0.015625000000000007,7,TRUE,TRUE
1901-1918,Central America,0,6,6,1,12,0,6,0.031249999999999997,6,TRUE,FALSE
1901-1918,Southern Asia,6,11,1.8333333333333333,0.6666666666666666,5.666666666666667,2,7,0.17968750000000006,17,TRUE,FALSE
1901-1918,South America,11,13,1.1818181818181819,0.7272727272727273,2,3,5,0.7265625000000003,24,TRUE,FALSE
1901-1918,Western Europe,2578,2938,1.139643134212568,1.076674012352296,1.2129331382302342,477,837,2.139204526571753e-23,5516,FALSE,TRUE
1901-1918,Northern America,308,351,1.1396103896103895,0.9557489396240249,1.3520640949824865,91,134,0.004997710263304892,659,FALSE,FALSE
1901-1918,Southern Europe,538,499,0.9275092936802974,0.8142299698595655,1.0548022085546547,180,141,0.03376326414464638,1037,FALSE,FALSE
1901-1918,Northern Europe,1341,1112,0.8292319164802386,0.7525533494194453,0.9205967008357074,601,372,2.091205067913558e-13,2453,FALSE,TRUE
1901-1918,Eastern Asia,10,7,0.7,0.25,4,8,5,0.5810546874999997,17,TRUE,FALSE
1901-1918,Eastern Europe,439,298,0.6788154897494305,0.5579816435691709,0.8274250886524822,283,142,7.2031995180585244e-12,737,FALSE,TRUE
1901-1918,Northern Africa,5,2,0.4,0,4,5,2,0.4531250000000002,7,TRUE,FALSE
1901-1918,Western Asia,3,1,0.3333333333333333,0,1,2,0,0.5,4,TRUE,FALSE
1901-1918,Australia and New Zealand,23,4,0.17391304347826086,0.034482758620689655,0.42857142857142855,20,1,2.098083496093749e-5,27,TRUE,TRUE
1919-1945,South America,118,180,1.5254237288135593,1.2,1.956556064073226,47,109,7.532489029546541e-7,298,FALSE,TRUE
1919-1945,Southern Asia,40,60,1.5,1.0222222222222221,2.310344827586207,13,33,0.004533861582189063,100,FALSE,TRUE
1919-1945,Northern America,1181,1769,1.497883149872989,1.3802601265638215,1.6423220152010796,236,824,8.263021234788662e-77,2950,FALSE,TRUE
1919-1945,Western Europe,3523,3665,1.040306556911723,0.9908277291318834,1.0941046712402356,885,1027,0.0012556918217444895,7188,FALSE,FALSE
1919-1945,Caribbean,29,27,0.9310344827586207,0.5,1.6206896551724137,14,12,0.8450189828872677,56,TRUE,FALSE
1919-1945,Southern Europe,520,451,0.8673076923076923,0.7657134949920927,0.9776876267748479,226,157,4.956332773625859e-4,971,FALSE,TRUE
1919-1945,Eastern Asia,137,115,0.8394160583941606,0.7055116407110272,0.9826086956521739,37,15,0.0031852534477767747,252,FALSE,TRUE
1919-1945,Eastern Europe,564,434,0.7695035460992907,0.6817342525617843,0.8700009025270757,272,142,1.6387064764183479e-10,998,FALSE,TRUE
1919-1945,Northern Europe,2190,1674,0.7643835616438356,0.7077701309999326,0.825520057877409,994,478,6.399427549428191e-42,3864,FALSE,TRUE
1919-1945,Northern Africa,53,35,0.660377358490566,0.3253012048192771,1.4137931034482758,41,23,0.03276575909882336,88,TRUE,FALSE
1919-1945,Australia and New Zealand,16,10,0.625,0.2940563725490197,1.1111111111111112,10,4,0.17956542968750006,26,TRUE,FALSE
1919-1945,South-Eastern Asia,6,3,0.5,0,1,3,0,0.25000000000000006,9,TRUE,FALSE
1919-1945,Sub-Saharan Africa,9,4,0.4444444444444444,0,1.5,7,2,0.17968750000000006,13,TRUE,FALSE
1919-1945,Western Asia,48,19,0.3958333333333333,0.20311933876811594,0.7428571428571429,44,15,2.0372185740785698e-4,67,TRUE,TRUE
1919-1945,Central America,17,5,0.29411764705882354,0.08333333333333333,0.6,12,0,4.882812500000001e-4,22,TRUE,TRUE
1946-1975,Northern America,3050,4527,1.4842622950819673,1.3883564291946082,1.5925381984358093,806,2283,7.834436217608169e-162,7577,FALSE,TRUE
1946-1975,South America,224,320,1.4285714285714286,1.0883257561699757,1.8786170958136275,135,231,5.940151042050985e-7,544,FALSE,TRUE
1946-1975,Eastern Europe,563,700,1.2433392539964476,1.0680092396749417,1.457142857142857,251,388,6.663632550088895e-8,1263,FALSE,TRUE
1946-1975,Central America,35,35,1,0.6206724137931035,1.6129652605459046,23,23,1,70,TRUE,FALSE
1946-1975,Central Asia,0,1,1,1,4,0,1,1,1,TRUE,FALSE
1946-1975,Sub-Saharan Africa,57,56,0.9824561403508771,0.6562371926229509,1.488888888888889,37,36,1,113,FALSE,FALSE
1946-1975,Southern Europe,634,597,0.9416403785488959,0.8235255920550038,1.082684569972727,379,342,0.17997451901117698,1231,FALSE,FALSE
1946-1975,Western Europe,3986,3314,0.831409934771701,0.783611578366197,0.8817660075052065,1794,1122,9.423581776150271e-36,7300,FALSE,TRUE
1946-1975,South-Eastern Asia,28,22,0.7857142857142857,0.475,1.3125,20,14,0.39152830513194176,50,TRUE,FALSE
1946-1975,Southern Asia,163,126,0.7730061349693251,0.6120173641069888,0.9781061567756267,88,51,0.0021470973863251027,289,FALSE,TRUE
1946-1975,Northern Europe,2840,2086,0.7345070422535211,0.6782790737432423,0.7964767616191905,1714,960,1.1560669765603682e-48,4926,FALSE,TRUE
1946-1975,Caribbean,30,21,0.7,0.4146341463414634,1.0606060606060606,17,8,0.10775214433670058,51,TRUE,FALSE
1946-1975,Australia and New Zealand,128,89,0.6953125,0.5208333333333334,0.9099121621621622,84,45,7.558902724563317e-4,217,FALSE,TRUE
1946-1975,Eastern Asia,201,137,0.681592039800995,0.5539906103286385,0.8370786516853933,122,58,2.0988443277939973e-6,338,FALSE,TRUE
1946-1975,Northern Africa,36,19,0.5277777777777778,0.2857142857142857,0.8928571428571429,27,10,0.0076320786029100505,55,TRUE,TRUE
1946-1975,Western Asia,154,79,0.512987012987013,0.3416149068322981,0.756313876902112,131,56,4.1623754711121194e-8,233,FALSE,TRUE
