subregion,sent,received,ratio,boot_lo,boot_hi,cross_sent,cross_received,p_dir_cross,total_volume,low_volume,ci_excludes_1
Northern America,4539,6647,1.4644194756554307,1.3883159831897383,1.5463309205626459,1133,3241,3.7310172447346215e-232,11186,FALSE,TRUE
South America,353,513,1.453257790368272,1.1833689389721367,1.7809195692411242,185,345,3.428011340918394e-12,866,FALSE,TRUE
Caribbean,61,63,1.0327868852459017,0.6716417910447762,1.5660913379073749,33,35,0.9035973456835166,124,FALSE,FALSE
Central Asia,0,1,1,1,4,0,1,1,1,TRUE,FALSE
Western Europe,10087,9917,0.9831466243679984,0.9489399714824444,1.0192729869079264,3156,2986,0.03104315319708474,20004,FALSE,FALSE
Southern Asia,209,197,0.9425837320574163,0.7732320494286108,1.1581639859333563,103,91,0.429747495014479,406,FALSE,FALSE
South-Eastern Asia,34,32,0.9411764705882353,0.6122448979591837,1.4545454545454546,23,21,0.880395821280674,66,TRUE,FALSE
Eastern Europe,1566,1432,0.9144316730523627,0.8351912214292821,1.0040207443479405,806,672,5.368662175114913e-4,2998,FALSE,FALSE
Southern Europe,1692,1547,0.9143026004728132,0.8458885251342707,0.9906781614108373,785,640,1.3470843355384166e-4,3239,FALSE,TRUE
Sub-Saharan Africa,66,60,0.9090909090909091,0.6285714285714286,1.3404255319148937,44,38,0.5811144541766468,126,FALSE,FALSE
Central America,52,46,0.8846153846153846,0.5833333333333334,1.3333333333333333,35,29,0.5323087760278447,98,TRUE,FALSE
Northern Europe,6371,4872,0.7647151153665045,0.7257149754139263,0.8083558659979508,3309,1810,9.601256096039205e-99,11243,FALSE,TRUE
Eastern Asia,348,259,0.7442528735632183,0.6483164870919564,0.8510710178263369,167,78,1.3191411328039956e-8,607,FALSE,TRUE
Australia and New Zealand,167,103,0.6167664670658682,0.47435897435897434,0.7862082126875494,114,50,6.331600153869791e-7,270,FALSE,TRUE
Northern Africa,94,56,0.5957446808510638,0.37037037037037035,0.96,73,35,3.2583856112748e-4,150,FALSE,TRUE
Western Asia,205,99,0.48292682926829267,0.3411183621584846,0.6779690039470628,177,71,1.27182105330593e-11,304,FALSE,TRUE
