subregion,sent,received,net,return_ratio,total_volume
Northern America,4714,6802,2088,1.442935935511243,11516
South America,403,535,132,1.3275434243176178,938
Caribbean,65,67,2,1.0307692307692307,132
Western Europe,10578,10127,-451,0.9573643410852714,20705
Sub-Saharan Africa,66,63,-3,0.9545454545454546,129
Eastern Europe,1591,1477,-114,0.9283469516027656,3068
Southern Asia,225,203,-22,0.9022222222222223,428
Southern Europe,1807,1584,-223,0.8765910348644161,3391
Central America,59,49,-10,0.8305084745762712,108
Eastern Asia,364,267,-97,0.7335164835164835,631
Northern Europe,6834,4974,-1860,0.7278314310798947,11808
Australia and New Zealand,171,106,-65,0.6198830409356725,277
Northern Africa,97,56,-41,0.5773195876288659,153
Western Asia,219,102,-117,0.4657534246575342,321
