country,n_nominators,mean_same_frac,median_same_frac
United States,744,0.7556671433255163,1
Germany,662,0.550385192510583,0.5
France,458,0.5991029136086407,0.6476190476190475
Sweden,311,0.16666007700638683,0
United Kingdom,293,0.5087615468147556,0.5
Italy,179,0.5627574872205002,0.5
Switzerland,172,0.32146951168546495,0.25
Norway,159,0.24607658239733715,0
Netherlands,146,0.2932607632093933,0
Austria,120,0.3193998820773014,0.12609970674486803
Belgium,100,0.24798015873015872,0
Denmark,98,0.3596581423112035,0.011904761904761904
Poland,93,0.39973118279569897,0.5
Finland,90,0.2598004954377503,0
Russia,73,0.4951820629902822,0.5
Czech Republic,61,0.40626463700234194,0.3333333333333333
Japan,57,0.4382066276803118,0.3333333333333333
Spain,57,0.5321637426900585,0.5
Canada,49,0.07988338192419825,0
Hungary,42,0.3580182072829131,0
Australia,32,0.2833333333333333,0.225
India,31,0.40937019969278027,0
Greece,19,0.42105263157894735,0
Romania,17,0.38235294117647056,0
Israel,14,0.2029220779220779,0
Serbia,14,0.3095238095238095,0
Turkey,14,0.1258503401360544,0
Ireland,11,0.2424242424242424,0
Portugal,11,0.5454545454545454,0.5
Argentina,10,0.458,0.29000000000000004
Chile,9,0.33333333333333337,0
South Africa,9,0.4074074074074074,0
Brazil,7,0.22448979591836732,0
Iceland,7,0.42857142857142855,0
Lebanon,7,0.19047619047619047,0
Uruguay,7,0,0
Algeria,6,0.16666666666666666,0
Bulgaria,6,0.33333333333333337,0
Estonia,6,0.05555555555555556,0
Egypt,5,0.2,0
Croatia,4,0.20833333333333331,0.16666666666666666
Cuba,4,0.25,0
El Salvador,4,0.25,0
Colombia,3,0.16666666666666669,0
Latvia,3,0.6666666666666666,1
Mexico,3,0.5,0.5
Peru,3,0,0
Philippines,3,0.2222222222222222,0
Dominican Republic,2,0.5,0.5
New Zealand,2,0,0
Puerto Rico,2,0.5,0.5
Senegal,2,0,0
Singapore,2,0,0
Sri Lanka,2,0.5,0.5
Afghanistan,1,0,0
Bolivia,1,1,1
China,1,0,0
Ivory Coast,1,0,0
Kenya,1,1,1
Nicaragua,1,0,0
Pakistan,1,0,0
Sudan,1,0,0
Tunisia,1,0.24,0.24
Ukraine,1,0,0
Venezuela,1,0,0
Zambia,1,0,0
