prize_clean,nominator_subregion,n_out,n_self,self_rate
Chemistry,Northern America,986,754,0.7647058823529411
Chemistry,Western Europe,2152,1456,0.6765799256505576
Chemistry,Eastern Europe,282,140,0.49645390070921985
Chemistry,Northern Europe,1120,484,0.43214285714285716
Chemistry,Southern Europe,162,50,0.30864197530864196
Literature,Southern Europe,343,318,0.9271137026239067
Literature,Eastern Europe,147,126,0.8571428571428571
Literature,Western Europe,882,637,0.7222222222222222
Literature,Northern Europe,1549,853,0.5506778566817302
Literature,Northern America,347,154,0.4438040345821326
Peace,Northern America,822,617,0.7506082725060828
Peace,Western Europe,1994,1448,0.7261785356068204
Peace,South America,129,72,0.5581395348837209
Peace,Southern Europe,413,190,0.4600484261501211
Peace,Northern Europe,1704,721,0.4231220657276995
Peace,Eastern Europe,206,62,0.30097087378640774
Physics,Northern America,1313,1009,0.7684691546077684
Physics,Western Europe,2221,1254,0.5646105357946871
Physics,Northern Europe,1202,571,0.4750415973377704
Physics,Eastern Europe,332,137,0.4126506024096386
Physics,Southern Europe,237,59,0.2489451476793249
Physiology/Medicine,Northern America,1071,872,0.8141923436041083
Physiology/Medicine,Eastern Asia,120,97,0.8083333333333333
Physiology/Medicine,Western Europe,2838,2136,0.7526427061310782
Physiology/Medicine,Northern Europe,796,433,0.5439698492462312
Physiology/Medicine,Southern Europe,537,290,0.5400372439478585
Physiology/Medicine,Eastern Europe,599,295,0.49248747913188645
