geo_level,n_edges,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,finding,edge_type,prize,decade
continent,4417,0.6943626896083315,0.48244631222658413,1.4392538029852726,0.40945776716119925,0.9737370854888949,1.0262954245610667,0.46977586597237947,0.4951324428345031,9.999000099990002e-5,temporal,NA,NA,1960
country,4417,0.4446456871179534,0.13066655581689882,3.402903553538436,0.36117226755965404,0.935625213294682,1.0690384381533682,0.12225492415666742,0.1396875707493774,9.999000099990002e-5,temporal,NA,NA,1960
continent,4206,0.8214455539705183,0.5962366897005817,1.3777172189504674,0.5577744647053957,0.9833431727733293,1.0168390472716908,0.5863052781740371,0.6062767475035663,9.999000099990002e-5,temporal,NA,NA,1930
country,4206,0.48787446504992865,0.08424812141430546,5.790923961980318,0.4407595038286919,0.9058901519472135,1.0921479401980425,0.07631954350927246,0.0920114122681883,9.999000099990002e-5,temporal,NA,NA,1930
continent,3240,0.6555555555555556,0.45684813671696384,1.4349528932449147,0.3658413645817605,0.96879587990264,1.032301328097095,0.4425925925925926,0.47160493827160493,9.999000099990002e-5,temporal,NA,NA,1970
country,3240,0.38117283950617287,0.09813052507239753,3.8843452557189098,0.31383955472769115,0.9089682420265303,1.0913909341979446,0.08919753086419753,0.10709876543209877,9.999000099990002e-5,temporal,NA,NA,1970
continent,3193,0.8809896648919512,0.7251342267363945,1.2149332253381748,0.567023810585853,0.988617900035223,1.0119404717267486,0.7168806764797996,0.7337926714688381,9.999000099990002e-5,temporal,NA,NA,1920
country,3193,0.5261509552145318,0.10618818628166905,4.954891628141121,0.4698559165220506,0.9083230649861677,1.0971545748026768,0.09645317882868776,0.11650485436893204,9.999000099990002e-5,temporal,NA,NA,1920
continent,3178,0.7064191315292637,0.48676750678536085,1.4512454543124584,0.42797684801309394,0.9690053167101894,1.0317094632885004,0.47168030207677786,0.5022026431718062,9.999000099990002e-5,temporal,NA,NA,1950
country,3178,0.4550031466331026,0.13981912701427093,3.254226773899552,0.36641598240241363,0.9272070752742845,1.075740247526961,0.12964128382630585,0.15040906230333542,9.999000099990002e-5,temporal,NA,NA,1950
continent,2825,0.9557522123893806,0.8895751899130707,1.0743917132882008,0.59929487244953,0.9960009105038393,1.004357290496081,0.8860176991150442,0.8934513274336283,9.999000099990002e-5,temporal,NA,NA,1900
country,2825,0.4626548672566372,0.09487126634818698,4.87665955209924,0.4063329195446026,0.8917533534443138,1.1118933026209439,0.08460176991150442,0.10548672566371682,9.999000099990002e-5,temporal,NA,NA,1900
continent,2634,0.9278663629460896,0.8264279854181836,1.1227431540530137,0.5844166628606544,0.992736479504322,1.0074368808667182,0.8204252088078967,0.8325740318906606,9.999000099990002e-5,temporal,NA,NA,1910
country,2634,0.5041761579347,0.10907074071960098,4.6224693681217035,0.4434756329971973,0.9015207577887961,1.103405715131461,0.09832953682611997,0.12034927866362946,9.999000099990002e-5,temporal,NA,NA,1910
continent,2151,0.7666201766620176,0.49671382019671906,1.5433840281681805,0.5362880351111502,0.9621581449101818,1.039842119645148,0.4779172477917248,0.5165039516503952,9.999000099990002e-5,temporal,NA,NA,1940
country,2151,0.501627150162715,0.13287971538002177,3.7750468438927265,0.4252552285111165,0.9061511886637778,1.091579810282234,0.1204091120409112,0.14504881450488144,9.999000099990002e-5,temporal,NA,NA,1940
