year,sent,received,country
1901,51,72,Germany
1902,44,49,Germany
1903,46,24,Germany
1904,45,44,Germany
1905,59,65,Germany
1906,64,56,Germany
1907,45,47,Germany
1908,54,66,Germany
1909,52,92,Germany
1910,86,102,Germany
1911,61,61,Germany
1912,69,71,Germany
1913,84,91,Germany
1914,65,104,Germany
1915,15,41,Germany
1916,36,50,Germany
1917,35,45,Germany
1918,32,36,Germany
1919,55,54,Germany
1920,62,62,Germany
1921,39,61,Germany
1922,58,74,Germany
1923,91,76,Germany
1924,74,63,Germany
1925,63,65,Germany
1926,89,83,Germany
1927,65,48,Germany
1928,86,80,Germany
1929,109,106,Germany
1930,87,85,Germany
1931,93,89,Germany
1932,75,76,Germany
1933,88,93,Germany
1934,81,74,Germany
1935,70,68,Germany
1936,44,136,Germany
1937,54,71,Germany
1938,5,8,Germany
1939,2,10,Germany
1940,0,9,Germany
1941,0,7,Germany
1942,0,9,Germany
1943,0,6,Germany
1944,1,7,Germany
1945,1,4,Germany
1946,4,13,Germany
1947,7,14,Germany
1948,16,22,Germany
1949,16,22,Germany
1950,72,38,Germany
1951,71,53,Germany
1952,77,59,Germany
1953,78,57,Germany
1954,33,23,Germany
1955,38,45,Germany
1956,46,40,Germany
1957,52,39,Germany
1958,38,31,Germany
1959,47,31,Germany
1960,41,59,Germany
1961,47,53,Germany
1962,31,29,Germany
1963,61,35,Germany
1964,74,32,Germany
1965,70,37,Germany
1966,82,49,Germany
1967,92,53,Germany
1968,74,36,Germany
1969,83,58,Germany
1970,44,36,Germany
1971,57,44,Germany
1972,63,46,Germany
1973,92,47,Germany
1974,52,38,Germany
1975,8,0,Germany
1901,34,49,Russia
1902,5,16,Russia
1903,8,28,Russia
1904,9,8,Russia
1905,7,12,Russia
1906,2,10,Russia
1907,6,5,Russia
1908,5,3,Russia
1909,12,1,Russia
1910,3,0,Russia
1911,17,3,Russia
1912,7,4,Russia
1913,2,0,Russia
1914,21,5,Russia
1915,3,0,Russia
1916,2,0,Russia
1917,2,0,Russia
1918,4,3,Russia
1919,0,0,Russia
1920,0,0,Russia
1921,0,1,Russia
1922,0,0,Russia
1923,1,3,Russia
1924,2,0,Russia
1925,12,10,Russia
1926,2,2,Russia
1927,0,2,Russia
1928,2,3,Russia
1929,18,13,Russia
1930,11,6,Russia
1931,1,8,Russia
1932,2,10,Russia
1933,7,11,Russia
1934,13,10,Russia
1935,4,5,Russia
1936,6,7,Russia
1937,3,3,Russia
1938,3,2,Russia
1939,3,6,Russia
1940,0,0,Russia
1941,1,0,Russia
1942,0,1,Russia
1943,0,1,Russia
1944,0,1,Russia
1945,0,3,Russia
1946,2,18,Russia
1947,1,14,Russia
1948,1,15,Russia
1949,1,4,Russia
1950,1,7,Russia
1951,1,2,Russia
1952,0,2,Russia
1953,1,1,Russia
1954,0,1,Russia
1955,1,4,Russia
1956,1,19,Russia
1957,13,25,Russia
1958,4,15,Russia
1959,3,8,Russia
1960,1,12,Russia
1961,1,2,Russia
1962,4,11,Russia
1963,3,11,Russia
1964,30,25,Russia
1965,17,24,Russia
1966,6,21,Russia
1967,5,11,Russia
1968,17,18,Russia
1969,25,19,Russia
1970,15,16,Russia
1971,16,26,Russia
1972,19,18,Russia
1973,18,23,Russia
1974,19,32,Russia
1975,0,14,Russia
